Index,Image_ID,Breed,Chest_Girth_cm,Back_Length_cm,Withers_Height_cm,Recommended_Size,Fit_Ratio,Sizing_Verdict,3D_Mesh_OBJ_Path,VTON_Image_PNG_Path
1,golden_golden_retriever_dog_show_bing_00000,Golden Retriever,86.5,114.0,85.4,L,1.006,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00000_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00000_vton_L.png
2,golden_golden_retriever_dog_show_bing_00001,Golden Retriever,93.6,57.7,74.8,XL,0.945,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00001_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00001_vton_XL.png
3,golden_golden_retriever_dog_show_bing_00002,Golden Retriever,88.3,57.9,78.7,L,1.027,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00002_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00002_vton_L.png
4,golden_golden_retriever_dog_show_bing_00003,Golden Retriever,91.6,45.1,64.4,L,1.065,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00003_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00003_vton_L.png
5,golden_golden_retriever_dog_show_bing_00004,Golden Retriever,86.3,130.3,78.3,L,1.003,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00004_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00004_vton_L.png
6,golden_golden_retriever_dog_show_bing_00005,Golden Retriever,76.0,113.2,61.2,M,1.013,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00005_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00005_vton_M.png
7,golden_golden_retriever_dog_show_bing_00006,Golden Retriever,131.2,36.3,50.1,XL,1.325,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00006_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00006_vton_XL.png
8,golden_golden_retriever_dog_show_bing_00007,Golden Retriever,92.1,44.9,68.4,L,1.071,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00007_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00007_vton_L.png
9,golden_golden_retriever_dog_show_bing_00008,Golden Retriever,87.2,50.7,76.3,L,1.014,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00008_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00008_vton_L.png
10,golden_golden_retriever_dog_show_bing_00009,Golden Retriever,76.4,97.6,62.9,M,1.019,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00009_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00009_vton_M.png
11,golden_golden_retriever_dog_show_bing_00010,Golden Retriever,125.3,48.8,58.0,XL,1.266,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00010_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00010_vton_XL.png
12,golden_golden_retriever_dog_show_bing_00011,Golden Retriever,86.4,42.6,62.2,L,1.005,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00011_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00011_vton_L.png
13,golden_golden_retriever_dog_show_bing_00012,Golden Retriever,88.8,30.7,51.6,L,1.033,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00012_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00012_vton_L.png
14,golden_golden_retriever_dog_show_bing_00013,Golden Retriever,93.3,95.8,69.9,XL,0.942,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00013_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00013_vton_XL.png
15,golden_golden_retriever_dog_show_bing_00014,Golden Retriever,94.0,141.3,49.0,XL,0.949,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00014_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00014_vton_XL.png
16,golden_golden_retriever_dog_show_bing_00015,Golden Retriever,83.7,38.2,42.6,L,0.973,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00015_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00015_vton_L.png
17,golden_golden_retriever_dog_show_bing_00016,Golden Retriever,92.8,60.9,77.6,XL,0.937,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00016_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00016_vton_XL.png
18,golden_golden_retriever_dog_show_bing_00017,Golden Retriever,86.8,47.6,65.6,L,1.009,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00017_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00017_vton_L.png
19,golden_golden_retriever_dog_show_bing_00018,Golden Retriever,95.4,53.2,74.4,XL,0.964,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00018_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00018_vton_XL.png
20,golden_golden_retriever_dog_show_bing_00019,Golden Retriever,88.1,16.0,95.2,L,1.024,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00019_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00019_vton_L.png
21,golden_golden_retriever_dog_show_bing_00020,Golden Retriever,81.6,106.3,61.9,L,0.949,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00020_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00020_vton_L.png
22,golden_golden_retriever_dog_show_bing_00021,Golden Retriever,85.4,126.7,67.1,L,0.993,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00021_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00021_vton_L.png
23,golden_golden_retriever_dog_show_bing_00022,Golden Retriever,85.5,115.7,57.0,L,0.994,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00022_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00022_vton_L.png
24,golden_golden_retriever_dog_show_bing_00023,Golden Retriever,95.4,6.5,64.6,XL,0.964,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00023_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00023_vton_XL.png
25,golden_golden_retriever_dog_show_bing_00024,Golden Retriever,80.7,126.9,67.0,L,0.938,Loose,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00024_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00024_vton_L.png
26,golden_golden_retriever_dog_show_bing_00025,Golden Retriever,105.9,39.7,52.7,XL,1.07,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00025_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00025_vton_XL.png
27,golden_golden_retriever_dog_show_bing_00026,Golden Retriever,108.1,37.7,61.6,XL,1.092,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00026_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00026_vton_XL.png
28,golden_golden_retriever_dog_show_bing_00027,Golden Retriever,93.9,50.8,65.6,XL,0.948,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00027_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00027_vton_XL.png
