index,breed,source_image,output_image,garment_name,chest_girth_cm,back_length_cm,withers_height_cm,recommended_size,physical_fit_ratio,fit_verdict,processing_time_sec
1,golden,00001.jpg,00001_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,83.9,61.8,58.5,L,0.976,Good Fit,1.61
2,golden,00002.jpg,00002_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,102.9,56.7,78.7,XL,1.039,Good Fit,1.19
3,golden,00003.jpg,00003_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,93.2,47.2,75.4,XL,0.941,Good Fit,1.12
4,golden,00004.jpg,00004_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,80.0,44.9,68.4,M,1.067,Good Fit,1.13
5,golden,00005.jpg,00005_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,86.4,44.9,69.1,L,1.005,Good Fit,1.14
6,golden,00006.jpg,00006_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,80.8,82.9,57.0,L,0.94,Loose,1.23
7,golden,00007.jpg,00007_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,82.9,41.5,74.2,L,0.964,Good Fit,1.13
8,golden,00008.jpg,00008_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,91.3,47.8,47.5,L,1.062,Tight,1.13
9,golden,00009.jpg,00009_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,97.4,42.3,81.7,XL,0.984,Good Fit,1.17
10,golden,00010.jpg,00010_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,89.5,52.9,66.6,L,1.041,Good Fit,1.14
11,golden,00011.jpg,00011_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,119.3,50.9,69.8,XL,1.205,Tight,1.21
12,golden,00012.jpg,00012_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,84.7,58.8,75.3,L,0.985,Good Fit,1.19
13,golden,00013.jpg,00013_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,89.7,45.7,67.7,L,1.043,Good Fit,1.15
14,golden,00014.jpg,00014_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,88.2,56.7,76.9,L,1.026,Good Fit,1.15
15,golden,00015.jpg,00015_locked_yellow_tryon.png,Ruffwear Sun Shower Yellow Raincoat,155.4,46.2,66.0,XL,1.57,Tight,1.1
