Index,Image_ID,Breed,Chest_Girth_cm,Back_Length_cm,Height_cm,Recommended_Size,Fit_Ratio,Verdict,Mesh_OBJ,Depth_PNG,Mask_PNG,VTON_PNG
1,00001,Golden Retriever,83.9,61.8,58.5,L,0.976,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00001_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00001_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00001_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00001_stage4_vton_L.png
2,00002,Golden Retriever,102.9,56.7,78.7,XL,1.039,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00002_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00002_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00002_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00002_stage4_vton_XL.png
3,00003,Golden Retriever,93.2,47.2,75.4,XL,0.941,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00003_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00003_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00003_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00003_stage4_vton_XL.png
4,00004,Golden Retriever,80.0,44.9,68.4,M,1.067,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00004_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00004_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00004_stage3_mask_M.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00004_stage4_vton_M.png
5,00005,Golden Retriever,86.4,44.9,69.1,L,1.005,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00005_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00005_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00005_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00005_stage4_vton_L.png
6,00006,Golden Retriever,80.8,82.9,57.0,L,0.94,Loose,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00006_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00006_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00006_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00006_stage4_vton_L.png
7,00007,Golden Retriever,82.9,41.5,74.2,L,0.964,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00007_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00007_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00007_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00007_stage4_vton_L.png
8,00008,Golden Retriever,91.3,47.8,47.5,L,1.062,Tight,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00008_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00008_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00008_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00008_stage4_vton_L.png
9,00009,Golden Retriever,97.4,42.3,81.7,XL,0.984,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00009_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00009_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00009_stage3_mask_XL.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00009_stage4_vton_XL.png
10,00010,Golden Retriever,89.5,52.9,66.6,L,1.041,Good Fit,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_1_3d_meshes\golden\00010_stage1_mesh.obj,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_2_depth_maps\golden\00010_stage2_depth.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_3_anatomical_masks\golden\00010_stage3_mask_L.png,D:\curated_subsets_pipeline_outputs\curated_clean_sideview\stage_4_vton_renders\golden\00010_stage4_vton_L.png
