Index,Image_ID,Breed,Chest_Girth_cm,Semi_Depth_A_cm,Semi_Width_B_cm,Back_Length_cm,Height_cm,Recommended_Size,Fit_Ratio,Verdict,Stage1_3D_Mesh,Stage2_Depth,Stage3_Mask,Stage4_VTON
1,golden_golden_retriever_side_view_bing_00000,Golden Retriever,82.9,13.2,13.2,58.7,78.2,L,0.964,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00000_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00000_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00000_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00000_stage4_vton_L.png
2,golden_golden_retriever_side_view_bing_00001,Golden Retriever,86.3,14.0,13.4,60.6,80.1,L,1.003,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00001_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00001_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00001_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00001_stage4_vton_L.png
3,golden_golden_retriever_side_view_bing_00002,Golden Retriever,107.1,17.7,16.3,44.3,82.8,XL,1.082,Tight,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00002_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00002_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00002_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00002_stage4_vton_XL.png
4,golden_golden_retriever_side_view_bing_00003,Golden Retriever,90.2,14.8,14.0,56.7,73.1,L,1.049,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00003_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00003_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00003_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00003_stage4_vton_L.png
5,golden_golden_retriever_side_view_bing_00004,Golden Retriever,85.7,14.0,13.3,58.2,77.5,L,0.997,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00004_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00004_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00004_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00004_stage4_vton_L.png
6,golden_golden_retriever_side_view_bing_00005,Golden Retriever,83.3,13.5,13.0,59.3,76.7,L,0.969,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00005_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00005_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00005_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00005_stage4_vton_L.png
7,golden_golden_retriever_side_view_bing_00006,Golden Retriever,102.1,17.3,15.1,123.1,72.0,XL,1.031,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00006_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00006_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00006_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00006_stage4_vton_XL.png
8,golden_golden_retriever_side_view_bing_00007,Golden Retriever,79.4,13.5,11.7,48.7,73.7,M,1.059,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00007_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00007_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00007_stage3_mask_M.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00007_stage4_vton_M.png
9,golden_golden_retriever_side_view_bing_00008,Golden Retriever,106.4,18.8,15.0,48.4,65.9,XL,1.075,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00008_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00008_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00008_stage3_mask_XL.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00008_stage4_vton_XL.png
10,golden_golden_retriever_side_view_bing_00009,Golden Retriever,87.5,14.3,13.6,55.9,72.0,L,1.017,Good Fit,D:\sideview_pipeline_stages\stage_1_3d_meshes\golden\golden_golden_retriever_side_view_bing_00009_stage1_mesh.obj,D:\sideview_pipeline_stages\stage_2_depth_maps\golden\golden_golden_retriever_side_view_bing_00009_stage2_depth.png,D:\sideview_pipeline_stages\stage_3_anatomical_masks\golden\golden_golden_retriever_side_view_bing_00009_stage3_mask_L.png,D:\sideview_pipeline_stages\stage_4_vton_renders\golden\golden_golden_retriever_side_view_bing_00009_stage4_vton_L.png
