Global_Index,Garment_Category,Garment_Brand_Model,Garment_Folder,Dog_ID,Breed,Chest_Girth_cm,Back_Length_cm,Withers_Height_cm,Recommended_Size,Fit_Ratio,Verdict,Clean_Tryon_File
1,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00001,Golden Retriever,83.9,61.8,58.5,L,0.976,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00001_clean_tryon.png
2,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00002,Golden Retriever,102.9,56.7,78.7,XL,1.039,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00002_clean_tryon.png
3,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00003,Golden Retriever,93.2,47.2,75.4,XL,0.941,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00003_clean_tryon.png
4,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00004,Golden Retriever,80.0,44.9,68.4,M,1.067,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00004_clean_tryon.png
5,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00005,Golden Retriever,86.4,44.9,69.1,L,1.005,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00005_clean_tryon.png
6,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00006,Golden Retriever,80.8,82.9,57.0,L,0.94,Loose,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00006_clean_tryon.png
7,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00007,Golden Retriever,82.9,41.5,74.2,L,0.964,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00007_clean_tryon.png
8,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00008,Golden Retriever,91.3,47.8,47.5,L,1.062,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00008_clean_tryon.png
9,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00009,Golden Retriever,97.4,42.3,81.7,XL,0.984,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00009_clean_tryon.png
10,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00010,Golden Retriever,89.5,52.9,66.6,L,1.041,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00010_clean_tryon.png
11,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00011,Golden Retriever,119.3,50.9,69.8,XL,1.205,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00011_clean_tryon.png
12,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00012,Golden Retriever,84.7,58.8,75.3,L,0.985,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00012_clean_tryon.png
13,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00013,Golden Retriever,89.7,45.7,67.7,L,1.043,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00013_clean_tryon.png
14,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00014,Golden Retriever,88.2,56.7,76.9,L,1.026,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00014_clean_tryon.png
15,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00015,Golden Retriever,155.4,46.2,66.0,XL,1.57,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00015_clean_tryon.png
16,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00016,Golden Retriever,77.9,64.8,66.4,M,1.039,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00016_clean_tryon.png
17,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00017,Golden Retriever,157.2,45.5,67.1,XL,1.588,Tight,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00017_clean_tryon.png
18,Waterproof Raincoat,Ruffwear Sun Shower (Yellow),01_waterproof_raincoat_ruffwear_yellow,00018,Golden Retriever,96.8,59.8,78.3,XL,0.978,Good Fit,D:\3d-canine-vton-sync\unique_garments_clean_vton_matrix\01_waterproof_raincoat_ruffwear_yellow\golden\00018_clean_tryon.png
